,MG1655_aldA,012,013,015,018,021,022,026,028,029,034,035,036,038,040,042,046,047,048,049,050,051,052,054,055,057,059,061,062,068,069,072,073,078,079,080,083,084,090,093,096,097,103,104,105,108,112,114,115,116,117,119,121,122,123,125,128,130,131,132,136,137,138,145,147,148,150,151,157,158,159,160,164,165,170,172,173,175,176,180,181,182,185,189,190,191,193,194,195,196,200,201,203
MG1655_aldA,,2,2,1,1,2,1,1,1,3,3,2,3,1,1,1,3,2,2,2,1,2,1,2,1,1,2,2,2,1,3,1,3,3,1,3,1,1,1,2,2,3,1,2,2,2,1,1,1,2,1,1,3,3,3,1,1,3,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,3,2,2,2,2,3,1,2,2,3,1,1,1,1,2,1,1,2,2
012,2,,4,3,3,4,3,3,3,5,5,4,5,3,3,3,5,4,4,4,3,4,3,4,3,3,4,4,4,3,5,3,5,5,3,5,3,3,3,4,4,5,3,4,4,4,3,3,3,4,3,3,5,5,5,3,3,5,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,5,3,4,4,5,3,3,3,3,4,3,3,4,4
013,2,4,,3,3,4,3,3,3,5,5,4,5,3,3,3,5,4,4,4,3,4,3,4,3,3,4,4,3,3,5,3,5,5,3,5,3,3,3,4,4,5,3,4,4,4,3,3,3,4,3,3,5,5,5,3,3,5,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,5,4,4,4,4,5,3,4,4,5,3,3,3,3,4,3,3,4,4
015,1,3,3,,2,3,2,2,2,4,4,3,4,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3,3,2,4,2,4,4,2,4,2,2,2,3,3,4,2,3,3,3,2,2,2,3,2,2,4,4,4,2,2,4,3,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,4,3,3,3,3,4,2,3,3,4,2,2,2,2,3,2,2,3,3
018,1,3,3,2,,3,2,2,2,4,4,2,4,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3,3,2,4,2,4,4,2,4,2,2,2,3,3,4,2,3,3,3,2,2,2,3,2,2,4,4,4,2,2,4,3,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,4,3,3,3,3,4,2,3,3,4,2,2,2,2,3,2,2,3,3
021,2,4,4,3,3,,3,3,3,5,5,4,5,3,3,3,5,4,4,4,3,4,3,4,3,3,4,4,4,3,5,3,5,5,3,5,3,3,3,4,4,5,3,4,4,4,3,3,3,4,3,3,5,5,5,3,3,5,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,5,4,4,4,4,5,3,4,4,5,3,3,3,3,4,3,3,4,4
022,1,3,3,2,2,3,,2,2,4,4,3,4,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3,3,2,4,2,4,4,2,4,2,2,2,3,3,4,2,3,3,3,2,2,2,3,2,2,4,4,4,2,2,4,3,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,4,3,3,3,3,4,2,3,3,4,2,2,2,2,3,2,2,3,3
026,1,3,3,2,2,3,2,,2,4,4,3,4,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3,3,2,4,2,4,4,2,4,2,2,2,3,3,4,2,3,3,3,2,2,2,3,2,2,4,4,4,2,2,4,3,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,4,3,3,3,3,4,2,3,3,4,2,2,2,2,3,2,2,3,3
028,1,3,3,2,2,3,2,2,,4,4,3,4,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3,3,2,4,2,4,4,2,4,2,2,2,3,3,4,2,3,3,3,2,2,2,3,2,2,4,4,4,2,2,4,3,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,4,3,3,3,3,4,2,3,3,4,2,2,2,2,3,2,2,3,3
